checkpoint,duration_abs_error_seconds,duration_error_ratio,emotion,f0_corr,f0_median_delta_hz,f0_rmse_hz,generated_wav,mcd_db,pesq_wb,ref_duration_seconds,ref_rms_dbfs,reference_wav,rtf,speaker,speaker_cosine,stoi,style,syn_duration_seconds,syn_rms_dbfs,synthesis_seconds,text,utt
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,0.3039999999999998,0.08796296296296291,neutral,0.01909411241620722,-0.5560529072308356,215.22781396900106,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_06a0abdeb2539d18\aux_common_voice_ko_25_0_cv_06a0abdeb2539d18_000001.wav,635.5052506939782,nan,3.456,-25.548283056451698,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_06a0abdeb2539d18\aux_common_voice_ko_25_0_cv_06a0abdeb2539d18_2a10f1678aaa.wav,0.6928303723396583,aux_common_voice_ko_25_0_cv_06a0abdeb2539d18,0.5076588720727309,nan,pronunciation,3.76,-14.481033277145013,2.605042199997115,그는 한숨을 푹 쉬고 무심히 발끝을 굽어보았다.,aux_common_voice_ko_25_0_cv_06a0abdeb2539d18_000001
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,0.2559999999999998,0.09609609609609601,neutral,0.008146146956870605,24.35043143557897,154.5593593473534,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_07af9efc44cbca97\aux_common_voice_ko_25_0_cv_07af9efc44cbca97_000002.wav,566.1723171708752,nan,2.664,-23.643280737779765,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_07af9efc44cbca97\aux_common_voice_ko_25_0_cv_07af9efc44cbca97_64ba5a5a92a0.wav,0.6898292465773747,aux_common_voice_ko_25_0_cv_07af9efc44cbca97,0.5150182115319066,nan,pronunciation,2.92,-19.894828254296783,2.014301400005934,아니라고?,aux_common_voice_ko_25_0_cv_07af9efc44cbca97_000002
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,1.5999999999999999,0.8888888888888888,neutral,0.2172561301763616,50.82818861766383,103.26182772843379,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f\aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f_000003.wav,608.1944607769697,nan,1.8,-53.32354774404724,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f\aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f_7b85852e2c67.wav,0.6250173235329224,aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f,0.5077413935540956,nan,pronunciation,3.4,-36.417829492342904,2.125058900011936,그렇게 딱 잡아떼지 않는 것을 보니 사줄 모양이다.,aux_common_voice_ko_25_0_cv_0b649a0dcb3a524f_000003
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,6.140000000000001,1.6243386243386246,neutral,0.15330712879241054,13.654951151720752,114.92647071089847,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_000004.wav,650.8826994953434,nan,3.78,-23.292212962216475,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_6c12b2040fe1.wav,0.5571503024193882,aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd,0.4642858827883311,nan,pronunciation,9.92,-18.121367217017326,5.5269310000003316,내가 타고난 의무를 다허다가 죽으면 고만 이지요.,aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_000004
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,4.696000000000001,0.8470418470418473,neutral,0.1386930037582568,6.333676514089092,134.70066779350066,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_000005.wav,596.7188814025756,nan,5.544,-17.606277144220336,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd\aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_78334f385f3a.wav,0.5369559960939796,aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd,0.5586260860775794,nan,pronunciation,10.24,-16.62042694788093,5.498429400002351,초롱불은 첫째를 비웃는 듯이 조롱하는 듯이 까뭇까뭇 숨바꼭질을 한다.,aux_common_voice_ko_25_0_cv_0d3c4f8869a2efcd_000005
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,1.948,0.949317738791423,neutral,0.18569078764582753,-8.805141215428307,138.65541886943532,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d\aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d_000006.wav,797.2330502382107,nan,2.052,-26.021858491705604,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d\aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d_4eee2eb6ca72.wav,0.5736529249988962,aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d,0.6175805892310302,nan,pronunciation,4.0,-19.44449309616019,2.294611699995585,진심이세요?,aux_common_voice_ko_25_0_cv_0feb0f9c2e32f63d_000006
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,3.26,1.393162393162393,neutral,0.08355598712551827,70.90989361287787,153.5453873756759,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_0ff5c9286c64e664\aux_common_voice_ko_25_0_cv_0ff5c9286c64e664_000007.wav,707.9300088880921,nan,2.34,-29.096193865859576,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_0ff5c9286c64e664\aux_common_voice_ko_25_0_cv_0ff5c9286c64e664_a9f9abc3abe6.wav,0.5572745357130771,aux_common_voice_ko_25_0_cv_0ff5c9286c64e664,0.6573299825869321,nan,pronunciation,5.6,-20.49830715999907,3.1207373999932315,생각해 볼게.,aux_common_voice_ko_25_0_cv_0ff5c9286c64e664_000007
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,5.260000000000001,0.8349206349206351,neutral,-0.0035572158754659496,-19.83877224894836,226.24802097235406,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_11de7650ea154d75\aux_common_voice_ko_25_0_cv_11de7650ea154d75_000008.wav,569.9883884866553,nan,6.3,-18.190894127960014,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_11de7650ea154d75\aux_common_voice_ko_25_0_cv_11de7650ea154d75_d55d0e8ebbd6.wav,0.5229933391004228,aux_common_voice_ko_25_0_cv_11de7650ea154d75,0.6263383230153937,nan,pronunciation,11.56,-18.468147739032243,6.0458030000008876,그리고 그가 걸어갈 장차의 앞길까지도 저 길가같이 훤하게 내다보였다.,aux_common_voice_ko_25_0_cv_11de7650ea154d75_000008
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,3.6959999999999997,0.8148148148148149,neutral,0.6345420570306661,27.955607880865628,96.59184840981482,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_1652873c9589b2a2\aux_common_voice_ko_25_0_cv_1652873c9589b2a2_000009.wav,358.35249305470415,nan,4.536,-19.760893979100548,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_1652873c9589b2a2\aux_common_voice_ko_25_0_cv_1652873c9589b2a2_49adce42d18e.wav,0.9213341666639151,aux_common_voice_ko_25_0_cv_1652873c9589b2a2,0.43017094073588147,nan,pronunciation,0.84,-15.945279210928584,0.7739206999976886,네 마음대로 해.,aux_common_voice_ko_25_0_cv_1652873c9589b2a2_000009
C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\exp\cosyvoice3\flow\torch_ddp\epoch_35_whole.pt,1.3040000000000003,0.19474313022700124,neutral,0.06737570239763967,-10.819083166729314,124.48154933545504,C:\Users\Chan\Desktop\2차_프로젝트\steamscale_repaired\external\finetune_runs\game_chars_12h\eval_all\flow\epoch_035\generated\aux_common_voice_ko_25_0_cv_25c4c3ef37578468\aux_common_voice_ko_25_0_cv_25c4c3ef37578468_000010.wav,559.6899442030507,nan,6.696,-25.301602809752616,C:\Users\Chan\Desktop\voice\processed_aux_sft\audio\common_voice_ko_25_0\aux_common_voice_ko_25_0_cv_25c4c3ef37578468\aux_common_voice_ko_25_0_cv_25c4c3ef37578468_c9b8c4425e98.wav,0.5354737124998792,aux_common_voice_ko_25_0_cv_25c4c3ef37578468,0.8032340636541782,nan,pronunciation,8.0,-20.43175613525242,4.2837896999990335,한동안 값으로 승강이를 하다가 육십 전에 인사동까지 태워다 주기로 하였다.,aux_common_voice_ko_25_0_cv_25c4c3ef37578468_000010
